"","sat","tothrs","hsize","hsrank","hsperc","colgpa","athlete","female","white","black","gpaletter"
"40",1120,12,4.8800001,20,4.1,2.3299999,"TRUE","FALSE","TRUE","FALSE","C"
"41",1540,85,2.3,1,0.435,4,"FALSE","FALSE","TRUE","FALSE","A"
"42",780,86,3.47,38,11,3.8099999,"FALSE","FALSE","TRUE","FALSE","A"
"43",830,83,2,84,42,1.95,"TRUE","FALSE","FALSE","TRUE","C"
"44",980,16,0.92000002,28,30.4,2.4300001,"FALSE","FALSE","TRUE","FALSE","C"
"45",500,14,4.5700002,329,72,1.21,"TRUE","FALSE","TRUE","FALSE","D"
"46",1040,15,3.6099999,31,8.59,3,"FALSE","FALSE","TRUE","FALSE","B"
"47",570,79,3.24,187,57.7,1.73,"TRUE","FALSE","FALSE","TRUE","C"
"48",1310,16,4.6700001,122,26.1,2.25,"FALSE","FALSE","TRUE","FALSE","C"
"49",1180,18,4.8000002,48,10,3.77,"FALSE","FALSE","TRUE","FALSE","A"
"50",1310,53,3.2,30,9.38,3.22,"FALSE","FALSE","TRUE","FALSE","B"
"51",1150,63,3.02,64,21.2,2.1700001,"FALSE","FALSE","TRUE","FALSE","C"
"52",1130,113,1.66,33,19.9,2.77,"FALSE","FALSE","FALSE","FALSE","B"
"53",1210,16,2.9300001,14,4.78,3.6199999,"FALSE","FALSE","TRUE","FALSE","A"
"54",900,76,0.86000001,16,18.6,1.75,"FALSE","FALSE","TRUE","FALSE","C"
"55",650,52,2.0599999,57,27.7,2.1900001,"TRUE","FALSE","TRUE","FALSE","C"
"56",1140,71,2.4100001,24,9.96,2.6099999,"TRUE","FALSE","TRUE","FALSE","B"
"57",1180,87,4.6900001,36,7.68,3.0899999,"TRUE","FALSE","TRUE","FALSE","B"
"58",1160,113,4.02,15,3.73,2.8800001,"FALSE","FALSE","TRUE","FALSE","B"
"59",1190,36,2.6099999,97,37.2,2.4100001,"FALSE","FALSE","TRUE","FALSE","C"
"60",930,49,2,65,32.5,2.9300001,"FALSE","FALSE","TRUE","FALSE","B"
"61",1000,74,2.3599999,75,31.8,2.28,"FALSE","FALSE","TRUE","FALSE","C"
"62",970,42,4.3299999,130,30,1.95,"FALSE","FALSE","TRUE","FALSE","C"
"63",980,47,0.1,4,40,3.25,"FALSE","FALSE","TRUE","FALSE","B"
"64",960,118,2.26,96,42.5,3.3199999,"FALSE","FALSE","TRUE","FALSE","B"
"65",970,79,0.1,3,30,2.03,"TRUE","FALSE","TRUE","FALSE","C"
"66",1160,96,2.1199999,19,8.96,3.4100001,"FALSE","FALSE","TRUE","FALSE","B"
"67",1080,80,2.1199999,100,47.2,2.5599999,"FALSE","FALSE","TRUE","FALSE","B"
"68",1060,12,2.3499999,66,28.1,2.25,"FALSE","FALSE","TRUE","FALSE","C"
"69",1120,73,2.95,15,5.08,2.6300001,"FALSE","FALSE","TRUE","FALSE","B"
"70",1030,17,2.78,59,21.2,2.5799999,"FALSE","FALSE","TRUE","FALSE","B"
"71",1070,48,3.1500001,99,31.4,3.04,"FALSE","FALSE","TRUE","FALSE","B"
"72",910,13,3.72,85,22.8,2.76,"FALSE","FALSE","TRUE","FALSE","B"
"73",1100,108,3.73,188,50.4,1.95,"FALSE","FALSE","TRUE","FALSE","C"
"74",1000,106,3.73,127,34,2.9200001,"FALSE","FALSE","TRUE","FALSE","B"
"75",1000,17,3.71,99,26.7,3.4100001,"FALSE","FALSE","TRUE","FALSE","B"
"76",1070,35,6,62,10.3,2.54,"FALSE","FALSE","TRUE","FALSE","B"
"77",950,15,2.8499999,24,8.42,3.0599999,"FALSE","FALSE","TRUE","FALSE","B"
"78",1060,17,1.5599999,27,17.3,3.23,"FALSE","FALSE","TRUE","FALSE","B"
"79",940,50,2.51,45,17.9,2.54,"TRUE","FALSE","TRUE","FALSE","B"
"80",960,48,1,39,39,2.22,"FALSE","FALSE","TRUE","FALSE","C"
"81",890,104,2.0999999,38,18.1,1.99,"FALSE","FALSE","TRUE","FALSE","C"
"82",1150,14,0.1,4,40,3.1400001,"FALSE","FALSE","TRUE","FALSE","B"
"83",1270,107,0.1,4,40,3.24,"FALSE","FALSE","TRUE","FALSE","B"
"84",1150,14,0.1,5,50,2.5,"FALSE","FALSE","TRUE","FALSE","B"
"85",1090,15,1.5,79,52.7,1.6,"FALSE","FALSE","TRUE","FALSE","C"
"86",1070,102,0.1,5,50,2.4100001,"FALSE","FALSE","TRUE","FALSE","C"
"87",980,49,3.2,17,5.31,2.9300001,"FALSE","FALSE","TRUE","FALSE","B"
"88",1100,71,3.0599999,99,32.4,2.6099999,"TRUE","FALSE","TRUE","FALSE","B"
"89",1100,18,3.0999999,28,9.03,2.9400001,"FALSE","FALSE","TRUE","FALSE","B"
"90",1070,50,1.78,10,5.62,3.4400001,"FALSE","FALSE","TRUE","FALSE","B"
"91",980,16,2.27,21,9.25,3.1199999,"FALSE","FALSE","TRUE","FALSE","B"
"92",1060,35,2.6099999,76,29.1,2.5699999,"FALSE","FALSE","FALSE","FALSE","B"
"93",1300,42,2.6099999,142,54.4,2.78,"FALSE","FALSE","TRUE","FALSE","B"
"94",860,92,2.74,110,40.1,2.1300001,"TRUE","FALSE","TRUE","FALSE","C"
"95",1010,94,2.5599999,74,28.9,2.6900001,"FALSE","FALSE","TRUE","FALSE","B"
"96",1000,17,1.96,35,17.9,1.88,"FALSE","FALSE","TRUE","FALSE","C"
"97",1030,17,0.1,3,30,2.47,"FALSE","FALSE","TRUE","FALSE","C"
"98",1100,18,2.3599999,22,9.32,2.6600001,"FALSE","FALSE","TRUE","FALSE","B"
"99",1240,92,0.57999998,16,27.6,2.77,"FALSE","FALSE","TRUE","FALSE","B"
"100",1070,14,1.86,87,46.8,1,"FALSE","FALSE","TRUE","FALSE","D"
"101",1040,47,1.95,60,30.8,2.02,"FALSE","FALSE","TRUE","FALSE","C"
"102",1010,78,2.3099999,36,15.6,2.6900001,"FALSE","FALSE","TRUE","FALSE","B"
"103",1080,50,0.50999999,8,15.7,3.7,"FALSE","FALSE","TRUE","FALSE","A"
"104",1210,49,3.4400001,120,34.9,1.97,"FALSE","FALSE","TRUE","FALSE","C"
"105",1130,13,1.1,64,58.2,2.23,"FALSE","FALSE","TRUE","FALSE","C"
"106",1050,15,6.1999998,266,42.9,1.8,"TRUE","FALSE","TRUE","FALSE","C"
"107",1320,16,8.54,3,0.351,4,"FALSE","FALSE","TRUE","FALSE","A"
"108",1000,106,1.52,41,27,1.84,"FALSE","FALSE","TRUE","FALSE","C"
"109",1040,40,1.61,89,55.3,2.1500001,"FALSE","FALSE","TRUE","FALSE","C"
"110",850,11,1.79,153,85.5,1.8099999,"TRUE","FALSE","TRUE","FALSE","C"
"111",1140,14,2.7,16,5.93,2.0699999,"FALSE","FALSE","TRUE","FALSE","C"
"112",1090,18,6.6100001,159,24.1,2.72,"FALSE","FALSE","TRUE","FALSE","B"
"113",1080,70,0.40000001,21,52.5,2.1099999,"FALSE","FALSE","TRUE","FALSE","C"
"114",1130,18,5.8400002,100,17.1,3.1600001,"FALSE","FALSE","TRUE","FALSE","B"
"115",1410,49,3.6099999,19,5.26,3.6900001,"FALSE","FALSE","TRUE","FALSE","A"
"116",1000,11,3.9300001,73,18.6,2.45,"FALSE","FALSE","TRUE","FALSE","C"
"117",1130,44,3.6099999,28,7.76,3.72,"FALSE","FALSE","TRUE","FALSE","A"
"118",1180,17,2.75,4,1.45,2.76,"FALSE","FALSE","TRUE","FALSE","B"
"119",910,52,3.8599999,190,49.2,2.46,"TRUE","FALSE","FALSE","TRUE","C"
"120",1040,54,4.3499999,35,8.05,3.01,"FALSE","FALSE","TRUE","FALSE","B"
"121",1220,55,4.3499999,93,21.4,3.3,"FALSE","FALSE","TRUE","FALSE","B"
"122",1170,16,5.6100001,89,15.9,3.4300001,"FALSE","FALSE","TRUE","FALSE","B"
"123",910,15,5.6300001,328,58.3,0.60000002,"TRUE","FALSE","TRUE","FALSE","D"
"124",1290,45,5.21,19,3.65,3.71,"FALSE","FALSE","TRUE","FALSE","A"
"125",1340,78,4.9899998,4,0.802,3.3800001,"FALSE","FALSE","TRUE","FALSE","B"
"126",1110,127,3.4400001,99,28.8,2.6199999,"FALSE","FALSE","TRUE","FALSE","B"
"127",1040,81,3.2,20,6.25,3.49,"FALSE","FALSE","TRUE","FALSE","B"
"128",1070,13,0.37,11,29.7,2.53,"FALSE","FALSE","TRUE","FALSE","B"
"129",1200,18,3.25,7,2.15,3.77,"FALSE","FALSE","TRUE","FALSE","A"
"130",950,90,3.4000001,46,13.5,2.6500001,"FALSE","FALSE","TRUE","FALSE","B"
"131",970,40,4.54,140,30.8,2.3499999,"FALSE","FALSE","TRUE","FALSE","C"
"132",1070,14,3.6199999,61,16.9,2.9200001,"FALSE","FALSE","TRUE","FALSE","B"
"133",1040,17,1.27,7,5.51,2.9400001,"FALSE","FALSE","TRUE","FALSE","B"
"134",1170,73,4.6999998,127,27,3.28,"TRUE","FALSE","TRUE","FALSE","B"
"135",1010,18,4.6700001,116,24.8,2.72,"FALSE","FALSE","TRUE","FALSE","B"
"136",950,97,6.5,75,11.5,2.4200001,"FALSE","FALSE","TRUE","FALSE","C"
"137",1200,84,0.1,3,30,2.26,"FALSE","FALSE","TRUE","FALSE","C"
"138",1230,46,2.6800001,6,2.24,3.47,"FALSE","FALSE","TRUE","FALSE","B"
"139",1250,38,1.15,11,9.57,2.3399999,"FALSE","FALSE","TRUE","FALSE","C"
"140",980,32,1.15,55,47.8,2.1800001,"FALSE","FALSE","TRUE","FALSE","C"
"141",1100,80,0.94,44,46.8,3.0999999,"FALSE","FALSE","TRUE","FALSE","B"
"142",880,38,2.54,116,45.7,2,"FALSE","FALSE","TRUE","FALSE","C"
"143",1050,57,3.1600001,8,2.53,2.9400001,"FALSE","FALSE","TRUE","FALSE","B"
"144",990,83,5.6599998,8,1.41,3.1400001,"FALSE","FALSE","TRUE","FALSE","B"
"145",1130,42,5.9400001,209,35.2,2.76,"FALSE","FALSE","TRUE","FALSE","B"
"146",1030,125,4.4899998,33,7.35,2.8199999,"FALSE","FALSE","TRUE","FALSE","B"
"147",1020,13,4.4000001,61,13.9,2.46,"FALSE","FALSE","TRUE","FALSE","C"
"148",1060,16,3.9300001,47,12,3.1800001,"FALSE","FALSE","TRUE","FALSE","B"
"149",1160,80,4.0300002,20,4.96,3.5,"FALSE","FALSE","TRUE","FALSE","A"
"150",1210,17,4.3499999,25,5.75,2.7,"FALSE","FALSE","TRUE","FALSE","B"
"151",1160,17,4.9400001,94,19,2.8800001,"FALSE","FALSE","TRUE","FALSE","B"
"152",1090,114,3.9400001,24,6.09,3.02,"FALSE","FALSE","TRUE","FALSE","B"
"153",1210,52,4.48,6,1.34,4,"FALSE","FALSE","TRUE","FALSE","A"
"154",1180,81,3.21,167,52,1.8200001,"TRUE","FALSE","TRUE","FALSE","C"
"155",750,41,6.1500001,76,12.4,1.41,"FALSE","FALSE","FALSE","FALSE","D"
"156",1280,80,6.8600001,44,6.41,3.76,"FALSE","FALSE","TRUE","FALSE","A"
"157",940,16,0.1,6,60,2.6199999,"FALSE","FALSE","TRUE","FALSE","B"
"158",990,16,3.6099999,86,23.8,1.5,"FALSE","FALSE","TRUE","FALSE","C"
"159",1080,113,0.60000002,12,20,3.3099999,"FALSE","FALSE","TRUE","FALSE","B"
"160",1050,16,4.25,55,12.9,2.9300001,"FALSE","FALSE","TRUE","FALSE","B"
"161",1270,13,6.6300001,20,3.02,3.46,"FALSE","FALSE","TRUE","FALSE","B"
"162",1160,18,0.37,17,45.9,2.27,"FALSE","FALSE","TRUE","FALSE","C"
"163",1010,80,4,57,14.2,2.3099999,"FALSE","FALSE","TRUE","FALSE","C"
"164",540,92,5.77,402,69.7,1.91,"TRUE","FALSE","FALSE","TRUE","C"
"165",1050,45,4.96,104,21,2.53,"FALSE","FALSE","TRUE","FALSE","B"
"166",1050,81,4.1199999,21,5.1,2.9000001,"FALSE","FALSE","TRUE","FALSE","B"
"167",1050,16,4.8800001,56,11.5,2.8699999,"FALSE","FALSE","TRUE","FALSE","B"
"168",1170,15,3.9300001,84,21.4,2.26,"FALSE","FALSE","TRUE","FALSE","C"
"169",1000,18,4.4699998,80,17.9,2.4400001,"FALSE","FALSE","TRUE","FALSE","C"
"170",970,114,1.11,14,12.6,3.0599999,"FALSE","FALSE","FALSE","FALSE","B"
"171",1090,63,1.28,30,23.4,2.5999999,"FALSE","FALSE","TRUE","FALSE","B"
"172",1070,17,6.0100002,84,14,3.1700001,"FALSE","FALSE","TRUE","FALSE","B"
"173",810,44,5.1999998,214,41.2,2.3599999,"TRUE","FALSE","TRUE","FALSE","C"
"174",1200,14,6.3099999,43,6.81,3.21,"FALSE","FALSE","TRUE","FALSE","B"
"175",1230,79,2.5,3,1.2,3.6500001,"FALSE","FALSE","TRUE","FALSE","A"
"176",1110,78,3.21,23,7.17,3.5,"FALSE","FALSE","TRUE","FALSE","A"
"177",1170,15,1.4400001,29,20.1,3,"FALSE","FALSE","TRUE","FALSE","B"
"178",1140,74,3.54,8,2.26,2.8599999,"FALSE","FALSE","TRUE","FALSE","B"
"179",920,42,3.03,20,6.6,3.0699999,"FALSE","FALSE","TRUE","FALSE","B"
"180",1180,79,0.31,2,6.45,2.4100001,"FALSE","FALSE","TRUE","FALSE","C"
"181",1130,50,1.9400001,1,0.515,3.78,"FALSE","FALSE","TRUE","FALSE","A"
"182",1010,95,4.5700002,123,26.9,2.46,"TRUE","FALSE","TRUE","FALSE","C"
"183",930,50,2.8800001,197,68.4,1.88,"TRUE","FALSE","TRUE","FALSE","C"
"184",850,78,5.3699999,234,43.6,2.0699999,"TRUE","FALSE","TRUE","FALSE","C"
"185",1050,76,5.6199999,23,4.09,2.8800001,"FALSE","FALSE","FALSE","FALSE","B"
"186",1080,15,7.71,207,26.8,2.8,"FALSE","FALSE","TRUE","FALSE","B"
"187",1100,43,7.4499998,218,29.3,2.6500001,"FALSE","FALSE","TRUE","FALSE","B"
"188",880,11,4.1700001,101,24.2,1.09,"FALSE","FALSE","TRUE","FALSE","D"
"189",1040,13,3.3,76,23,2.3,"FALSE","FALSE","TRUE","FALSE","C"
"190",900,58,0.1,2,20,3.2,"FALSE","FALSE","FALSE","TRUE","B"
"191",880,18,1.36,92,67.6,2.05,"FALSE","FALSE","TRUE","FALSE","C"
"192",1100,49,1.72,137,79.7,2.97,"TRUE","FALSE","TRUE","FALSE","B"
"193",1180,74,1.7,97,57.1,2.51,"FALSE","FALSE","TRUE","FALSE","B"
"194",1210,18,0.1,3,30,0.55000001,"FALSE","FALSE","TRUE","FALSE","D"
"195",1100,47,0.050000001,3,60,2.0599999,"FALSE","FALSE","TRUE","FALSE","C"
"196",1060,64,3.4000001,130,38.2,2.8499999,"FALSE","FALSE","TRUE","FALSE","B"
"197",1030,18,3.3699999,37,11,3.27,"FALSE","FALSE","TRUE","FALSE","B"
"198",1080,96,2.47,115,46.6,2.71,"FALSE","FALSE","TRUE","FALSE","B"
"199",1100,38,0.70999998,58,81.7,2.02,"FALSE","FALSE","TRUE","FALSE","C"
"200",1080,102,2.6099999,81,31,2.3,"FALSE","FALSE","TRUE","FALSE","C"
"201",1040,45,2.04,56,27.5,2.6400001,"FALSE","FALSE","TRUE","FALSE","B"
"202",1070,17,3.8299999,8,2.09,3.47,"FALSE","FALSE","FALSE","TRUE","B"
"203",1040,50,0.40000001,32,80,2.72,"FALSE","FALSE","TRUE","FALSE","B"
"204",1360,52,2.3699999,3,1.27,3.78,"FALSE","FALSE","TRUE","FALSE","A"
"205",700,15,2.3800001,102,42.9,2.5999999,"TRUE","FALSE","FALSE","TRUE","B"
"206",700,98,0.92000002,37,40.2,2,"FALSE","FALSE","FALSE","TRUE","C"
"207",750,74,2.1500001,68,31.6,2.4400001,"TRUE","FALSE","TRUE","FALSE","C"
"208",950,79,2.0599999,74,35.9,1.86,"FALSE","FALSE","TRUE","FALSE","C"
"209",980,14,1.9,42,22.1,2,"TRUE","FALSE","TRUE","FALSE","C"
"210",1070,106,0.1,2,20,2.4000001,"FALSE","FALSE","TRUE","FALSE","C"
"211",1170,53,0.1,3,30,3.47,"FALSE","FALSE","FALSE","FALSE","B"
"212",970,83,0.1,4,40,2.3800001,"FALSE","FALSE","TRUE","FALSE","C"
"213",860,44,2.7,55,20.4,2.8599999,"FALSE","FALSE","TRUE","FALSE","B"
"214",1090,51,0.1,1,10,2.6400001,"FALSE","FALSE","TRUE","FALSE","B"
"215",850,96,1.34,14,10.4,2.0699999,"FALSE","FALSE","FALSE","TRUE","C"
"216",1270,17,3.1500001,1,0.317,3.76,"FALSE","FALSE","TRUE","FALSE","A"
"217",1110,120,1.99,5,2.51,3.1099999,"FALSE","FALSE","TRUE","FALSE","B"
"218",1150,13,3.72,89,23.9,2.6099999,"FALSE","FALSE","TRUE","FALSE","B"
"219",870,108,3.02,67,22.2,2.22,"TRUE","FALSE","FALSE","TRUE","C"
"220",1010,131,1.28,13,10.2,2.9000001,"FALSE","FALSE","TRUE","FALSE","B"
"221",1080,92,2.3399999,99,42.3,2.28,"FALSE","FALSE","TRUE","FALSE","C"
"222",1100,46,0.1,1,10,2.8599999,"FALSE","FALSE","FALSE","TRUE","B"
"223",1360,52,2.8299999,1,0.353,3.98,"FALSE","FALSE","TRUE","FALSE","A"
"224",1220,42,0.1,3,30,2.76,"TRUE","FALSE","FALSE","FALSE","B"
"225",910,43,0.1,3,30,2.8599999,"FALSE","FALSE","TRUE","FALSE","B"
"226",1090,35,0.1,3,30,1.8,"FALSE","FALSE","TRUE","FALSE","C"
"227",1060,17,0.1,2,20,3.6400001,"FALSE","FALSE","TRUE","FALSE","A"
"228",1120,17,0.1,1,10,3.76,"FALSE","FALSE","TRUE","FALSE","A"
"229",1230,107,1.03,6,5.83,2.97,"FALSE","FALSE","TRUE","FALSE","B"
"230",830,89,4.5700002,279,61.1,1.92,"TRUE","FALSE","TRUE","FALSE","C"
"231",950,48,5.1500001,181,35.1,1.9299999,"FALSE","FALSE","TRUE","FALSE","C"
"232",1200,52,0.37,2,5.41,3.51,"FALSE","FALSE","TRUE","FALSE","A"
"233",820,117,0.98000002,16,16.3,2.47,"TRUE","FALSE","TRUE","FALSE","C"
"234",1000,82,0.36000001,17,47.2,2.4200001,"FALSE","FALSE","TRUE","FALSE","C"
"235",1120,15,1.64,27,16.5,2.73,"FALSE","FALSE","TRUE","FALSE","B"
"236",740,14,0.61000001,8,13.1,2.0699999,"TRUE","FALSE","TRUE","FALSE","C"
"237",670,82,0.75999999,58,76.3,1.89,"TRUE","FALSE","FALSE","TRUE","C"
"238",980,38,4.5,67,14.9,2.3099999,"FALSE","FALSE","TRUE","FALSE","C"
"239",1240,80,2.29,11,4.8,3.45,"FALSE","FALSE","TRUE","FALSE","B"
"240",720,51,0.1,7,70,2.23,"TRUE","FALSE","FALSE","FALSE","C"
"241",690,51,2.1400001,86,40.2,1.72,"TRUE","FALSE","FALSE","TRUE","C"
"242",1040,15,3.2,41,12.8,2.8,"FALSE","FALSE","TRUE","FALSE","B"
"243",1080,16,3.73,48,12.9,3.25,"FALSE","FALSE","TRUE","FALSE","B"
"244",1130,120,3.47,2,0.576,2.99,"FALSE","FALSE","TRUE","FALSE","B"
"245",1190,119,2.6900001,1,0.372,3.78,"FALSE","FALSE","FALSE","TRUE","A"
"246",1210,91,5.5599999,159,28.6,2.71,"FALSE","FALSE","TRUE","FALSE","B"
"247",1020,44,6.9699998,463,66.4,2,"TRUE","FALSE","TRUE","FALSE","C"
"248",850,52,6.9699998,257,36.9,1.86,"FALSE","FALSE","TRUE","FALSE","C"
"249",1090,95,4.7199998,67,14.2,2.3699999,"TRUE","FALSE","TRUE","FALSE","C"
"250",1130,43,2.6900001,40,14.9,2.76,"FALSE","FALSE","TRUE","FALSE","B"
"251",1160,15,4.9400001,2,0.405,3.73,"FALSE","FALSE","TRUE","FALSE","A"
"252",1030,16,4.6300001,109,23.5,2.5,"FALSE","FALSE","TRUE","FALSE","B"
"253",1010,17,4.6300001,68,14.7,2.8800001,"FALSE","FALSE","TRUE","FALSE","B"
"254",750,16,2.25,48,21.3,2.1800001,"FALSE","FALSE","TRUE","FALSE","C"
"255",750,52,4.1199999,178,43.2,1.88,"TRUE","FALSE","TRUE","FALSE","C"
"256",1360,84,4.1100001,13,3.16,3.95,"FALSE","FALSE","TRUE","FALSE","A"
"257",1180,113,3.5599999,34,9.55,2.0999999,"FALSE","FALSE","TRUE","FALSE","C"
"258",990,133,1.1799999,23,19.5,2.96,"FALSE","FALSE","TRUE","FALSE","B"
"259",1100,51,0.1,2,20,2.0699999,"FALSE","FALSE","TRUE","FALSE","C"
"260",1150,17,4,11,2.75,3.4100001,"FALSE","FALSE","TRUE","FALSE","B"
"261",970,71,0.1,4,40,1.98,"TRUE","FALSE","TRUE","FALSE","C"
"262",960,17,0.1,6,60,2.52,"FALSE","FALSE","TRUE","FALSE","B"
"263",930,44,0.94999999,24,25.3,2.1300001,"FALSE","FALSE","TRUE","FALSE","C"
"264",1350,17,0.91000003,13,14.3,3.6400001,"FALSE","FALSE","TRUE","FALSE","A"
"265",1280,109,0.91000003,4,4.4,3.48,"FALSE","FALSE","TRUE","FALSE","B"
"266",1020,18,0.75,29,38.7,2.6600001,"FALSE","FALSE","TRUE","FALSE","B"
"267",1160,15,5.1900001,30,5.78,3.1300001,"FALSE","FALSE","TRUE","FALSE","B"
"268",1260,83,4,157,39.2,2.5,"FALSE","FALSE","TRUE","FALSE","B"
"269",1160,79,4,60,15,3.0599999,"FALSE","FALSE","TRUE","FALSE","B"
"270",1040,45,4.3000002,186,43.3,2.26,"FALSE","FALSE","TRUE","FALSE","C"
"271",900,15,0.1,5,50,2.73,"TRUE","FALSE","TRUE","FALSE","B"
"272",1150,55,4.5,9,2,3.1600001,"FALSE","FALSE","TRUE","FALSE","B"
"273",1290,15,3.75,2,0.533,3.53,"FALSE","FALSE","TRUE","FALSE","A"
"274",1180,117,1.42,6,4.23,3.48,"FALSE","FALSE","TRUE","FALSE","B"
"275",1220,44,4.23,64,15.1,2.0599999,"FALSE","FALSE","TRUE","FALSE","C"
"276",1100,17,0.41999999,3,7.14,2.1700001,"FALSE","FALSE","FALSE","TRUE","C"
"277",980,45,5.6799998,384,67.6,1.97,"TRUE","FALSE","TRUE","FALSE","C"
"278",1090,47,4.1199999,34,8.25,2.8,"FALSE","FALSE","TRUE","FALSE","B"
"279",960,83,5.0799999,91,17.9,1.8,"FALSE","FALSE","TRUE","FALSE","C"
"280",1100,45,7.0300002,346,49.2,2.8599999,"FALSE","FALSE","TRUE","FALSE","B"
"281",960,73,5.1100001,84,16.4,2.1199999,"FALSE","FALSE","TRUE","FALSE","C"
"282",1140,45,3.5,143,40.9,2.46,"FALSE","FALSE","TRUE","FALSE","C"
"283",1170,59,4.3499999,123,28.3,2.8299999,"FALSE","FALSE","TRUE","FALSE","B"
"284",1140,14,5.2199998,41,7.85,3,"FALSE","FALSE","TRUE","FALSE","B"
"285",1210,14,0.52999997,5,9.43,3.5699999,"FALSE","FALSE","TRUE","FALSE","A"
"286",1130,48,4.71,63,13.4,2.8099999,"FALSE","FALSE","TRUE","FALSE","B"
"287",1160,15,4.1399999,52,12.6,2.5999999,"FALSE","FALSE","TRUE","FALSE","B"
"288",1070,45,3.96,71,17.9,3.2,"FALSE","FALSE","TRUE","FALSE","B"
"289",1020,103,5.0500002,183,36.2,2.3900001,"FALSE","FALSE","TRUE","FALSE","C"
"290",940,48,3.4200001,24,7.02,2.47,"FALSE","FALSE","TRUE","FALSE","C"
"291",950,41,3.74,87,23.3,1.97,"FALSE","FALSE","TRUE","FALSE","C"
"292",970,15,2.23,43,19.3,3.2,"FALSE","FALSE","TRUE","FALSE","B"
"293",940,73,3.8299999,53,13.8,2.79,"FALSE","FALSE","TRUE","FALSE","B"
"294",1190,50,3.52,23,6.53,3.3399999,"FALSE","FALSE","TRUE","FALSE","B"
"295",1270,16,2.21,11,4.98,2.8699999,"FALSE","FALSE","TRUE","FALSE","B"
